campo1;campo2;campo3;campo4;campo5;campo6;campo7;campo8;campo9;;;;;;
VPNmesc2.pca.cloPort-channel20;VPNmesc2.pca.clo;VPN;mesc2.pca.clo;MESA2.SMO.CLO/Port-channel20;Port-channel20;ar3.cal1;ae-6;4;;;;;;
ADIMED NNI UNEPort-channel20;ADIMED NNI UNE;ADI;MED NNI UNE;MESA1.PBE.MDE/Port-channel20;Port-channel20;ar3.mdc2;ae-3;1;;;;;;
VPLSMED NNI UNEPort-channel20;VPLSMED NNI UNE;VPLS;MED NNI UNE;MESA1.PBE.MDE/Port-channel20;Port-channel20;ar3.mdc2;ae-3;1;;;;;;
VPNMED NNI UNEPort-channel20;VPNMED NNI UNE;VPN;MED NNI UNE;MESA1.PBE.MDE/Port-channel20;Port-channel20;ar3.mdc2;ae-3;1;;;;;;
ADImesc22.pbe.mdePort-channel13;ADImesc22.pbe.mde;ADI;mesc22.pbe.mde;MESA1.PBE.MDE/Port-channel3;Port-channel13;N/A;N/A;1;;;;;;
VPLSmesc22.pbe.mdePort-channel13;VPLSmesc22.pbe.mde;VPLS;mesc22.pbe.mde;MESA1.PBE.MDE/Port-channel3;Port-channel13;psr1.mdc6;ae13;1;;;;;;
VPNmesc22.pbe.mdePort-channel13;VPNmesc22.pbe.mde;VPN;mesc22.pbe.mde;MESA1.PBE.MDE/Port-channel3;Port-channel13;psr1.mdc6;ae13;1;;;;;;
ADIMED NNI MEDIA COMMPort-channel12;ADIMED NNI MEDIA COMM;ADI;MED NNI MEDIA COMM;MESA1.PBE.MDE/Port-channel12;Port-channel12;psr1.mdc4;ae-12;1;;;;;;
VPLSMED NNI MEDIA COMMPort-channel12;VPLSMED NNI MEDIA COMM;VPLS;MED NNI MEDIA COMM;MESA1.PBE.MDE/Port-channel12;Port-channel12;psr1.mdc4;ae-12;1;;;;;;
VPNMED NNI MEDIA COMMPort-channel12;VPNMED NNI MEDIA COMM;VPN;MED NNI MEDIA COMM;MESA1.PBE.MDE/Port-channel12;Port-channel12;psr1.mdc4;ae-12;1;;;;;;
VPLSmesc1.pbe.mdeport-channel12;VPLSmesc1.pbe.mde;VPLS;mesc1.pbe.mde;MDLNCLAF9K001/MDLNCLAF9K002;port-channel12;PSR1.MDC4;ae12;1;;;;;;
VPNmesc1.pbe.mdeport-channel12;VPNmesc1.pbe.mde;VPN;mesc1.pbe.mde;MDLNCLAF9K001/MDLNCLAF9K002;port-channel12;PSR1.MDC4;ae12;1;;;;;;
ADIlhs1.pue1Port-channel1;ADIlhs1.pue1;ADI;lhs1.pue1;lhs2.mex1;Port-channel1;ar3.mex1;lag-7;1;;;;;;
ADIlhs1.ccu1Port-channel1;ADIlhs1.ccu1;ADI;lhs1.ccu1;lhs2.mex1;Port-channel1;psr1.mex1;ae4;1;;;;;;
ADIlhs1.mex6po1;ADIlhs1.mex6;ADI;lhs1.mex6;lhs1.mex1;po1;AR3.MEX1;lag-6;1;;;;;;
ADIsw1.esc1.sjoPanama;ADIsw1.esc1.sjo;ADI;sw1.esc1.sjo;sw1.esc1.sjo;Panama;edge1.pty2;ae5;1;;;;;;
ADIpsr1.xgt2Panama;ADIpsr1.xgt2;ADI;psr1.xgt2;psr1.xgt2;Panama;edge1.pty2;ae5;1;;;;;;
ADIpsr1.win1.stdPanama;ADIpsr1.win1.std;ADI;psr1.win1.std;psr1.win1.std;Panama;edge1.pty2;ae5;1;;;;;;
ADIpsr1.tri1.stdPanama;ADIpsr1.tri1.std;ADI;psr1.tri1.std;PSR1.TRI1.STD;Panama;edge1.pty2;ae5;1;;;;;;
ADIpsr1.prc1Panama;ADIpsr1.prc1;ADI;psr1.prc1;psr1.pty1;Panama;edge1.pty2;ae5;1;;;;;;
ADIsw5.pty1Panama;ADIsw5.pty1;ADI;sw5.pty1;psr1.pty1;Panama;edge1.pty2;ae5;1;;;;;;
VPLSsw4.pty1ae1;VPLSsw4.pty1;VPLS;sw4.pty1;Panama;ae1;PSR1.PTY1;ae2;1;;;;;;
ADIPSR1.PRC3Panama;ADIPSR1.PRC3;ADI;PSR1.PRC3;PSR1.PRC3;Panama;edge1.pty2;ae5;1;;;;;;
ADIsw2.xcr3Panama;ADIsw2.xcr3;ADI;sw2.xcr3;N/A;Panama;edge1.pty2;ae5;1;;;;;;
VPNpsr1.prc1N/A;VPNpsr1.prc1;VPN;psr1.prc1;psr1.pty1;N/A;edge2.lim1;ae8;1;;;;;;
VPNPSR1.PRC3N/A;VPNPSR1.PRC3;VPN;PSR1.PRC3;PSR1.PRC3;N/A;edge2.lim1;ae8;1;;;;;;
VPNMesc7.cxv2.bogN/A;VPNMesc7.cxv2.bog;VPN;Mesc7.cxv2.bog;N/A;N/A;N/A;N/A;1;;;;;;
VPLSMDLNCLCOZG005N/A;VPLSMDLNCLCOZG005;VPLS;MDLNCLCOZG005;MDLNCLAF9K001/MDLNCLAF9K002;N/A;psr1.mdc6;ae11;1;;;;;;
VPLSmesc1.pbe.mdeN/A;VPLSmesc1.pbe.mde;VPLS;mesc1.pbe.mde;MDLNCLAF9K001/MDLNCLAF9K002;N/A;psr1.mdc6;ae11;1;;;;;;
VPNmesc1.pbe.mdeN/A;VPNmesc1.pbe.mde;VPN;mesc1.pbe.mde;MDLNCLAF9K001/MDLNCLAF9K002;N/A;psr1.mdc6;ae11;1;;;;;;
ADIar2.bgo2N/A;ADIar2.bgo2;ADI;ar2.bgo2; MESA2.CEN.BGA;N/A;ar2.bgo2;ae-14;1;;;;;;
ADIsw1.que3Monterey2;ADIsw1.que3;ADI;sw1.que3;sw1.que3;Monterey2;edge2.mry1;ae4;1;;;;;;
ADIsw1.esc1.sjoMonterey2;ADIsw1.esc1.sjo;ADI;sw1.esc1.sjo;sw1.esc1.sjo;Monterey2;edge2.mry1;ae4;1;;;;;;
ADIpsr1.xgt2Monterey2;ADIpsr1.xgt2;ADI;psr1.xgt2;psr1.xgt2;Monterey2;edge2.mry1;ae4;1;;;;;;
ADIpsr1.win1.stdMonterey2;ADIpsr1.win1.std;ADI;psr1.win1.std;psr1.win1.std;Monterey2;edge2.mry1;ae4;1;;;;;;
ADIpsr1.tri1.stdMonterey2;ADIpsr1.tri1.std;ADI;psr1.tri1.std;PSR1.TRI1.STD;Monterey2;edge2.mry1;ae4;1;;;;;;
VPNsw4.pty1ae1;VPNsw4.pty1;VPN;sw4.pty1;Panama;ae1;PSR1.PTY1;ae2;1;;;;;;
ADIpsr1.prc1Monterey2;ADIpsr1.prc1;ADI;psr1.prc1;psr1.pty1;Monterey2;edge2.mry1;ae4;1;;;;;;
ADIPSR1.PRC3Monterey2;ADIPSR1.PRC3;ADI;PSR1.PRC3;PSR1.PRC3;Monterey2;edge2.mry1;ae4;1;;;;;;
ADIsw2.xcr3Monterey2;ADIsw2.xcr3;ADI;sw2.xcr3;N/A;Monterey2;edge2.mry1;ae4;1;;;;;;
ADIsw1.que3Monterey1;ADIsw1.que3;ADI;sw1.que3;sw1.que3;Monterey1;edge1.mry1;ae5;1;;;;;;
ADIsw1.esc1.sjoMonterey1;ADIsw1.esc1.sjo;ADI;sw1.esc1.sjo;sw1.esc1.sjo;Monterey1;edge1.mry1;ae5;1;;;;;;
ADIpsr1.xgt2Monterey1;ADIpsr1.xgt2;ADI;psr1.xgt2;psr1.xgt2;Monterey1;edge1.mry1;ae5;1;;;;;;
ADIpsr1.win1.stdMonterey1;ADIpsr1.win1.std;ADI;psr1.win1.std;psr1.win1.std;Monterey1;edge1.mry1;ae5;1;;;;;;
ADIpsr1.tri1.stdMonterey1;ADIpsr1.tri1.std;ADI;psr1.tri1.std;PSR1.TRI1.STD;Monterey1;edge1.mry1;ae5;1;;;;;;
ADIpsr1.prc1Monterey1;ADIpsr1.prc1;ADI;psr1.prc1;psr1.pty1;Monterey1;edge1.mry1;ae5;1;;;;;;
